stage,T_C,P_bar,x_C3H8,x_C3H6,x_H2,x_C2H4,x_CH4,x_C2H6,x_C4H10,y_C3H8,y_C3H6,y_H2,y_C2H4,y_CH4,y_C2H6,y_C4H10
1,-82.2023,7.88111,0.0,0.0,0.00250784,0.01763357,0.03757154,0.94228705,0.0,0.0,0.0,0.60590305,0.00837498,0.19701473,0.18870724,0.0
2,-45.4569,7.88111,0.0,0.0,0.00035654,0.01128611,0.00629216,0.98206519,0.0,0.0,0.0,0.04964564,0.01691028,0.05002739,0.88341669,0.0
3,-42.1581,7.88111,0.0,0.0,0.00030184,0.00702336,0.00213396,0.99054083,0.0,0.0,0.0,0.04076241,0.01109187,0.01901836,0.92912736,0.0
4,-41.7519,7.88111,0.0,0.0,0.00029785,0.00444736,0.00160155,0.99365324,0.0,0.0,0.0,0.04007798,0.00711214,0.01493381,0.93787607,0.0
5,-41.6692,7.88111,0.0,0.0,0.00029746,0.00291337,0.00153366,0.99525551,0.0,0.0,0.0,0.04001318,0.00470493,0.01441666,0.94086522,0.0
6,-41.6379,7.88111,0.0,0.0,0.0002974,0.00200302,0.00152472,0.99617486,0.0,0.0,0.0,0.04000782,0.0032715,0.01435161,0.94236907,0.0
7,-41.6214,7.88111,0.0,0.0,0.00029739,0.00146348,0.00152335,0.99671578,0.0,0.0,0.0,0.04000821,0.00242084,0.0143434,0.94322755,0.0
8,-41.6118,7.88111,0.0,0.0,0.00029739,0.00114393,0.00152303,0.99703564,0.0,0.0,0.0,0.04000885,0.00191669,0.01434233,0.94373213,0.0
9,-41.6062,7.88111,0.0,1e-08,0.00029738,0.00095476,0.00152291,0.99722494,0.0,0.0,0.0,0.04000927,0.0016181,0.01434218,0.94403045,0.0
10,-41.6029,7.88111,0.0,1e-08,0.00029738,0.00084279,0.00152284,0.99733697,0.0,0.0,0.0,0.04000953,0.00144133,0.01434214,0.94420699,0.0
11,-41.601,7.88111,0.0,4e-08,0.00029738,0.00077652,0.0015228,0.99740325,0.0,0.0,1e-08,0.04000969,0.00133671,0.01434213,0.94431146,0.0
12,-41.5998,7.88111,1e-08,9e-08,0.00029738,0.00073731,0.00152278,0.99744242,0.0,0.0,3e-08,0.04000978,0.00127479,0.01434212,0.94437327,0.0
13,-41.5991,7.88111,2e-08,2.5e-07,0.00029738,0.00071411,0.00152277,0.99746547,0.0,1e-08,9e-08,0.04000983,0.00123815,0.01434212,0.9444098,0.0
14,-41.5987,7.88111,7e-08,6.5e-07,0.00029738,0.00070038,0.00152276,0.99747877,0.0,2e-08,2.3e-07,0.04000987,0.00121647,0.01434212,0.94443129,0.0
15,-41.5984,7.88111,1.9e-07,1.69e-06,0.00029738,0.00069226,0.00152275,0.99748572,0.0,6e-08,6e-07,0.0400099,0.00120364,0.01434212,0.94444368,0.0
16,-41.5982,7.88111,5.5e-07,4.44e-06,0.00029738,0.00068745,0.00152275,0.99748743,0.0,1.8e-07,1.58e-06,0.04000993,0.00119605,0.01434213,0.94445013,0.0
17,-41.5978,7.88111,1.58e-06,1.163e-05,0.00029738,0.0006846,0.00152274,0.99748207,0.0,5.2e-07,4.15e-06,0.04001,0.00119156,0.01434214,0.94445163,0.0
18,-41.5971,7.88111,4.51e-06,3.049e-05,0.00029738,0.00068291,0.00152272,0.997462,0.0,1.48e-06,1.087e-05,0.04001018,0.0011889,0.01434219,0.94444639,0.0
19,-41.5953,7.88111,1.286e-05,7.992e-05,0.00029739,0.00068189,0.00152267,0.99740528,0.0,4.21e-06,2.849e-05,0.04001064,0.00118732,0.01434232,0.94442702,0.0
20,-41.5906,7.88111,3.668e-05,0.00020948,0.00029741,0.00068123,0.00152253,0.99725266,0.0,1.201e-05,7.468e-05,0.04001185,0.00118639,0.01434266,0.94437242,0.0
21,-41.5781,7.88111,0.00010466,0.00054901,0.00029746,0.00068071,0.00152218,0.99684598,0.0,3.428e-05,0.00019574,0.04001506,0.00118581,0.01434357,0.94422554,0.0
22,-41.5447,7.88111,0.0002985,0.00143832,0.00029758,0.00068003,0.00152125,0.99576432,0.0,9.779e-05,0.000513,0.0400236,0.00118543,0.01434598,0.9438342,0.0
23,-41.456,7.88111,0.00085056,0.00376422,0.00029791,0.00067866,0.00151879,0.99288986,0.0,0.00027891,0.00134391,0.04004633,0.00118508,0.01435241,0.94279335,0.0
24,-41.22,7.88111,0.00241752,0.00982373,0.00029877,0.00067527,0.00151236,0.98527235,0.0,0.00079465,0.00351678,0.04010676,0.00118457,0.01436953,0.94002772,0.0
25,-40.5944,7.88111,0.00682387,0.02544096,0.00030105,0.00066651,0.0014958,0.96527181,0.0,0.00225797,0.0091754,0.04026674,0.00118342,0.0144149,0.93270157,0.0
26,-38.962,7.88111,0.01888301,0.06446082,0.00030705,0.00064415,0.00145541,0.91424957,0.0,0.00636883,0.0237445,0.04068409,0.00118053,0.01453349,0.91348856,0.0
27,-34.9284,7.88111,0.04925035,0.15325209,0.00032244,0.00059148,0.0013698,0.79521384,0.0,0.01759171,0.06005271,0.04172029,0.00117282,0.01482859,0.86463389,0.0
28,-26.4918,7.88111,0.10998272,0.30973397,0.00035708,0.00049311,0.00123893,0.57819418,0.0,0.0457044,0.14221819,0.04392327,0.00115188,0.01545593,0.75154634,0.0
29,-14.1954,7.88111,0.18959401,0.480002,0.00041269,0.00037522,0.00112035,0.32849573,0.0,0.10148928,0.2858147,0.0471205,0.00110179,0.01635776,0.54811597,0.0
30,-2.9562,7.88111,0.25848828,0.58551702,0.00046575,0.00028747,0.00105033,0.15419115,0.0,0.17422229,0.44108487,0.04950404,0.00102382,0.01700288,0.3171621,0.0
31,7.7673,7.88111,0.31564239,0.61733749,0.00064393,0.00026849,0.00124447,0.06486322,0.0,0.23695427,0.53673906,0.05090322,0.00096122,0.01737563,0.1570666,0.0
32,8.9689,7.88111,0.32421191,0.63717964,1.276e-05,0.00010965,0.00013524,0.03835079,0.0,0.27452008,0.62305504,0.00098411,0.00041033,0.00190188,0.09912856,0.0
33,10.3608,7.88111,0.32893554,0.64873408,2.6e-07,4.413e-05,1.463e-05,0.02227136,0.0,0.28730783,0.65351591,1.956e-05,0.00016807,0.00020728,0.05878135,0.0
34,11.2109,7.88111,0.33169362,0.65552005,1e-08,1.756e-05,1.57e-06,0.01276718,0.0,0.29467283,0.67114399,3.9e-07,6.756e-05,2.24e-05,0.03409283,0.0
35,11.7061,7.88111,0.33328606,0.65944353,0.0,6.94e-06,1.7e-07,0.0072633,0.0,0.29898055,0.68146396,1e-08,2.686e-05,2.41e-06,0.01952621,0.0
36,11.9906,7.88111,0.33419628,0.66168691,0.0,2.73e-06,2e-08,0.00411405,0.0,0.30146633,0.68742033,0.0,1.061e-05,2.6e-07,0.01110247,0.0
37,12.1527,7.88111,0.33471362,0.66296086,0.0,1.07e-06,0.0,0.00232445,0.0,0.30288664,0.69082255,0.0,4.18e-06,3e-08,0.00628661,0.0
38,12.2447,7.88111,0.33500706,0.66368106,0.0,4.2e-07,0.0,0.00131146,0.0,0.3036937,0.69275336,0.0,1.64e-06,0.0,0.0035513,0.0
39,12.2966,7.88111,0.33517385,0.66408665,0.0,1.7e-07,0.0,0.00073934,0.0,0.30415141,0.69384451,0.0,6.4e-07,0.0,0.00200344,0.0
40,12.326,7.88111,0.33526953,0.66431379,0.0,6e-08,0.0,0.00041661,0.0,0.30441151,0.69445886,0.0,2.5e-07,0.0,0.00112937,0.0
41,12.3425,7.88111,0.33532584,0.66443944,0.0,3e-08,0.0,0.0002347,0.0,0.30456068,0.69480285,0.0,1e-07,0.0,0.00063637,0.0
42,12.3519,7.88111,0.33536104,0.66450675,0.0,1e-08,0.0,0.0001322,0.0,0.30464838,0.69499309,0.0,4e-08,0.0,0.00035849,0.0
43,12.3572,7.88111,0.33538595,0.66453959,0.0,0.0,0.0,7.446e-05,0.0,0.30470309,0.69509496,0.0,2e-08,0.0,0.00020193,0.0
44,12.3602,7.88111,0.33540741,0.66455066,0.0,0.0,0.0,4.193e-05,0.0,0.30474168,0.69514459,0.0,1e-08,0.0,0.00011373,0.0
45,12.362,7.88111,0.33543036,0.66454602,0.0,0.0,0.0,2.362e-05,0.0,0.30477476,0.69516118,0.0,0.0,0.0,6.405e-05,0.0
46,12.3631,7.88111,0.33545917,0.66452753,0.0,0.0,0.0,1.33e-05,0.0,0.30480999,0.69515394,0.0,0.0,0.0,3.607e-05,0.0
47,12.3638,7.88111,0.33549862,0.66449389,0.0,0.0,0.0,7.49e-06,0.0,0.30485409,0.69512559,0.0,0.0,0.0,2.031e-05,0.0
48,12.3644,7.88111,0.33555479,0.66444099,0.0,0.0,0.0,4.22e-06,0.0,0.3049144,0.69507416,0.0,0.0,0.0,1.144e-05,0.0
49,12.3651,7.88111,0.33563606,0.66436156,0.0,0.0,0.0,2.38e-06,0.0,0.30500023,0.69499332,0.0,0.0,0.0,6.44e-06,0.0
50,12.3659,7.88111,0.33575441,0.66424425,0.0,0.0,0.0,1.34e-06,0.0,0.3051244,0.69487197,0.0,0.0,0.0,3.63e-06,0.0
51,12.3669,7.88111,0.33592717,0.66407208,0.0,0.0,0.0,7.5e-07,0.0,0.30530519,0.69469277,0.0,0.0,0.0,2.04e-06,0.0
52,12.3684,7.88111,0.33617957,0.66382,0.0,0.0,0.0,4.2e-07,0.0,0.30556908,0.69442977,0.0,0.0,0.0,1.15e-06,0.0
53,12.3706,7.88111,0.33654848,0.66345128,0.0,0.0,0.0,2.4e-07,0.0,0.30595463,0.69404472,0.0,0.0,0.0,6.5e-07,0.0
54,12.3738,7.88111,0.33708769,0.66291218,0.0,0.0,0.0,1.3e-07,0.0,0.30651814,0.6934815,0.0,0.0,0.0,3.6e-07,0.0
55,12.3785,7.88111,0.3378758,0.66212413,0.0,0.0,0.0,8e-08,0.0,0.30734178,0.69265801,0.0,0.0,0.0,2e-07,0.0
56,12.3853,7.88111,0.33902756,0.66097239,0.0,0.0,0.0,4e-08,0.0,0.30854562,0.69145427,0.0,0.0,0.0,1.2e-07,0.0
57,12.3952,7.88111,0.34071046,0.65928951,0.0,0.0,0.0,2e-08,0.0,0.31030493,0.689695,0.0,0.0,0.0,6e-08,0.0
58,12.4097,7.88111,0.34316871,0.65683128,0.0,0.0,0.0,1e-08,0.0,0.31287554,0.68712442,0.0,0.0,0.0,4e-08,0.0
59,12.431,7.88111,0.34675795,0.65324204,0.0,0.0,0.0,1e-08,0.0,0.31663046,0.68336952,0.0,0.0,0.0,2e-08,0.0
60,12.4623,7.88111,0.35199516,0.64800483,0.0,0.0,0.0,0.0,0.0,0.32211292,0.67788707,0.0,0.0,0.0,1e-08,0.0
61,12.5082,7.88111,0.35962966,0.64037034,0.0,0.0,0.0,0.0,0.0,0.3301125,0.66988749,0.0,0.0,0.0,1e-08,0.0
62,12.5773,7.88111,0.37074343,0.62925657,0.0,0.0,0.0,0.0,0.0,0.34177357,0.65822643,0.0,0.0,0.0,0.0,0.0
63,12.7158,7.88111,0.39348564,0.60651436,0.0,0.0,0.0,0.0,0.0,0.358747,0.641253,0.0,0.0,0.0,0.0,0.0
